Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Pass,Parental_Involvement_High,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_High,Access_to_Resources_Low,Access_to_Resources_Medium
27,79,63,2,0,0.0,1.0,0.0,1.0,0.0,0.0
16,86,94,2,0,1.0,0.0,0.0,0.0,0.0,1.0
22,87,83,1,0,0.0,1.0,0.0,0.0,0.0,1.0
18,100,86,1,1,1.0,0.0,0.0,0.0,0.0,1.0
35,78,99,1,1,1.0,0.0,0.0,0.0,1.0,0.0
17,92,66,2,0,0.0,0.0,1.0,0.0,0.0,1.0
18,77,80,1,0,1.0,0.0,0.0,0.0,0.0,1.0
23,90,89,2,1,0.0,0.0,1.0,0.0,0.0,1.0
22,66,63,1,0,0.0,0.0,1.0,0.0,0.0,1.0
18,76,82,2,1,0.0,0.0,1.0,1.0,0.0,0.0
23,97,96,2,1,0.0,0.0,1.0,0.0,0.0,1.0
15,73,96,1,0,0.0,0.0,1.0,1.0,0.0,0.0
22,64,91,0,0,0.0,1.0,0.0,0.0,0.0,1.0
26,73,91,4,0,1.0,0.0,0.0,0.0,0.0,1.0
12,79,56,1,0,1.0,0.0,0.0,0.0,0.0,1.0
12,84,88,2,0,0.0,0.0,1.0,1.0,0.0,0.0
23,79,66,1,0,0.0,1.0,0.0,0.0,0.0,1.0
14,98,98,0,0,0.0,1.0,0.0,0.0,0.0,1.0
26,63,74,1,0,0.0,0.0,1.0,1.0,0.0,0.0
22,62,76,1,0,1.0,0.0,0.0,0.0,1.0,0.0
19,90,78,1,0,0.0,0.0,1.0,0.0,0.0,1.0
13,69,70,0,0,0.0,0.0,1.0,0.0,1.0,0.0
31,80,57,1,1,1.0,0.0,0.0,1.0,0.0,0.0
19,83,78,2,0,0.0,1.0,0.0,0.0,0.0,1.0
16,82,64,1,0,1.0,0.0,0.0,0.0,1.0,0.0
31,95,99,1,1,0.0,0.0,1.0,0.0,0.0,1.0
19,77,54,2,0,0.0,0.0,1.0,0.0,1.0,0.0
23,85,98,2,0,0.0,1.0,0.0,1.0,0.0,0.0
20,84,61,3,0,1.0,0.0,0.0,1.0,0.0,0.0
21,74,70,1,0,0.0,0.0,1.0,0.0,1.0,0.0
8,77,87,0,0,1.0,0.0,0.0,0.0,0.0,1.0
17,79,69,4,0,1.0,0.0,0.0,1.0,0.0,0.0
20,78,89,0,0,0.0,1.0,0.0,0.0,0.0,1.0
16,78,90,3,0,0.0,1.0,0.0,1.0,0.0,0.0
25,93,56,0,0,0.0,0.0,1.0,1.0,0.0,0.0
26,65,82,1,0,0.0,0.0,1.0,0.0,0.0,1.0
14,84,61,1,0,0.0,1.0,0.0,1.0,0.0,0.0
10,97,83,1,0,1.0,0.0,0.0,1.0,0.0,0.0
20,63,61,2,0,0.0,0.0,1.0,0.0,0.0,1.0
26,76,95,1,0,0.0,1.0,0.0,0.0,1.0,0.0
18,71,62,3,0,0.0,1.0,0.0,0.0,0.0,1.0
18,74,91,0,0,0.0,0.0,1.0,1.0,0.0,0.0
24,71,52,2,0,0.0,1.0,0.0,0.0,0.0,1.0
21,91,92,5,1,0.0,0.0,1.0,1.0,0.0,0.0
27,82,51,3,1,0.0,0.0,1.0,0.0,0.0,1.0
13,78,82,0,0,0.0,0.0,1.0,1.0,0.0,0.0
22,61,97,0,0,0.0,0.0,1.0,0.0,0.0,1.0
31,72,94,2,1,0.0,1.0,0.0,1.0,0.0,0.0
21,82,66,3,0,0.0,0.0,1.0,1.0,0.0,0.0
18,66,51,2,0,1.0,0.0,0.0,1.0,0.0,0.0
26,98,68,1,1,0.0,1.0,0.0,1.0,0.0,0.0
20,68,88,5,0,0.0,1.0,0.0,0.0,1.0,0.0
12,68,75,1,0,1.0,0.0,0.0,1.0,0.0,0.0
21,77,57,4,0,0.0,0.0,1.0,0.0,1.0,0.0
13,88,66,1,0,1.0,0.0,0.0,0.0,0.0,1.0
15,76,82,4,0,1.0,0.0,0.0,1.0,0.0,0.0
21,72,100,3,1,1.0,0.0,0.0,1.0,0.0,0.0
9,88,93,2,0,0.0,1.0,0.0,0.0,0.0,1.0
17,76,79,1,0,0.0,0.0,1.0,0.0,0.0,1.0
22,76,76,2,0,0.0,0.0,1.0,0.0,1.0,0.0
17,67,59,0,0,0.0,0.0,1.0,0.0,0.0,1.0
20,65,94,1,0,0.0,1.0,0.0,0.0,0.0,1.0
20,93,63,0,0,0.0,0.0,1.0,0.0,1.0,0.0
17,63,53,1,0,1.0,0.0,0.0,0.0,0.0,1.0
27,92,83,2,1,0.0,1.0,0.0,0.0,0.0,1.0
27,68,70,0,0,1.0,0.0,0.0,0.0,0.0,1.0
16,84,88,1,0,1.0,0.0,0.0,1.0,0.0,0.0
25,67,95,0,0,0.0,1.0,0.0,0.0,0.0,1.0
24,80,60,1,0,0.0,0.0,1.0,0.0,0.0,1.0
26,79,90,0,0,0.0,1.0,0.0,1.0,0.0,0.0
17,93,76,0,0,1.0,0.0,0.0,0.0,0.0,1.0
28,97,53,0,1,1.0,0.0,0.0,0.0,1.0,0.0
21,93,70,0,0,0.0,1.0,0.0,0.0,0.0,1.0
23,75,68,1,0,0.0,1.0,0.0,0.0,1.0,0.0
26,69,95,1,0,0.0,0.0,1.0,0.0,0.0,1.0
15,71,69,2,0,1.0,0.0,0.0,1.0,0.0,0.0
16,90,54,2,0,0.0,0.0,1.0,0.0,0.0,1.0
23,71,81,3,0,1.0,0.0,0.0,0.0,1.0,0.0
21,60,80,0,0,1.0,0.0,0.0,0.0,0.0,1.0
20,90,88,3,0,1.0,0.0,0.0,0.0,1.0,0.0
9,98,64,1,0,1.0,0.0,0.0,0.0,0.0,1.0
17,69,70,0,0,0.0,0.0,1.0,0.0,0.0,1.0
19,75,96,2,1,1.0,0.0,0.0,1.0,0.0,0.0
14,83,80,1,0,0.0,0.0,1.0,0.0,0.0,1.0
30,70,75,1,0,0.0,1.0,0.0,0.0,0.0,1.0
16,73,95,1,0,0.0,0.0,1.0,0.0,0.0,1.0
27,63,98,1,0,1.0,0.0,0.0,0.0,0.0,1.0
24,95,63,3,1,0.0,0.0,1.0,0.0,1.0,0.0
20,72,80,1,0,1.0,0.0,0.0,0.0,0.0,1.0
21,89,51,1,0,1.0,0.0,0.0,0.0,0.0,1.0
23,88,89,0,1,0.0,0.0,1.0,0.0,0.0,1.0
27,88,60,2,1,1.0,0.0,0.0,1.0,0.0,0.0
19,96,64,1,0,0.0,0.0,1.0,0.0,0.0,1.0
16,99,88,2,1,0.0,1.0,0.0,1.0,0.0,0.0
21,71,86,2,0,0.0,0.0,1.0,0.0,1.0,0.0
27,66,67,1,0,0.0,1.0,0.0,1.0,0.0,0.0
25,65,93,2,0,0.0,0.0,1.0,1.0,0.0,0.0
25,84,84,2,1,0.0,0.0,1.0,0.0,1.0,0.0
10,67,61,0,0,1.0,0.0,0.0,1.0,0.0,0.0
24,62,72,2,0,0.0,0.0,1.0,0.0,0.0,1.0
19,70,68,1,0,1.0,0.0,0.0,0.0,0.0,1.0
32,63,91,2,0,0.0,0.0,1.0,1.0,0.0,0.0
23,80,67,2,0,0.0,0.0,1.0,0.0,0.0,1.0
21,84,51,0,0,1.0,0.0,0.0,1.0,0.0,0.0
20,82,85,1,0,0.0,1.0,0.0,0.0,0.0,1.0
15,94,84,0,0,0.0,0.0,1.0,0.0,0.0,1.0
23,96,86,3,1,0.0,0.0,1.0,1.0,0.0,0.0
19,96,86,3,0,0.0,0.0,1.0,0.0,1.0,0.0
20,73,84,0,0,0.0,0.0,1.0,0.0,0.0,1.0
11,68,99,1,0,0.0,0.0,1.0,1.0,0.0,0.0
24,68,80,1,0,0.0,1.0,0.0,0.0,0.0,1.0
18,62,87,4,0,0.0,0.0,1.0,0.0,1.0,0.0
19,72,52,2,0,0.0,0.0,1.0,1.0,0.0,0.0
29,78,80,2,1,0.0,0.0,1.0,1.0,0.0,0.0
17,74,58,1,0,0.0,0.0,1.0,0.0,0.0,1.0
17,67,63,1,0,0.0,1.0,0.0,0.0,0.0,1.0
18,98,66,0,0,0.0,0.0,1.0,1.0,0.0,0.0
23,65,96,0,0,0.0,0.0,1.0,0.0,0.0,1.0
22,94,81,2,1,0.0,1.0,0.0,1.0,0.0,0.0
23,68,71,3,0,0.0,0.0,1.0,1.0,0.0,0.0
14,89,59,2,0,0.0,1.0,0.0,1.0,0.0,0.0
16,78,50,2,0,0.0,1.0,0.0,0.0,0.0,1.0
36,68,74,2,1,0.0,0.0,1.0,0.0,0.0,1.0
24,80,100,1,1,0.0,0.0,1.0,1.0,0.0,0.0
22,99,57,2,1,0.0,0.0,1.0,0.0,0.0,1.0
18,96,52,1,0,1.0,0.0,0.0,0.0,1.0,0.0
21,76,80,3,0,0.0,1.0,0.0,0.0,0.0,1.0
22,87,80,2,1,1.0,0.0,0.0,1.0,0.0,0.0
19,61,64,3,0,1.0,0.0,0.0,0.0,0.0,1.0
24,76,75,0,0,0.0,1.0,0.0,1.0,0.0,0.0
16,77,92,2,0,1.0,0.0,0.0,1.0,0.0,0.0
22,66,95,3,0,0.0,0.0,1.0,1.0,0.0,0.0
15,82,75,1,0,0.0,0.0,1.0,1.0,0.0,0.0
25,81,86,1,0,0.0,0.0,1.0,0.0,1.0,0.0
21,67,77,3,0,0.0,0.0,1.0,0.0,0.0,1.0
29,97,74,1,1,1.0,0.0,0.0,0.0,0.0,1.0
15,98,69,2,0,0.0,1.0,0.0,1.0,0.0,0.0
26,67,57,0,0,0.0,1.0,0.0,0.0,0.0,1.0
20,85,80,3,0,1.0,0.0,0.0,0.0,1.0,0.0
21,67,83,1,0,0.0,0.0,1.0,0.0,0.0,1.0
19,91,74,4,0,0.0,0.0,1.0,0.0,1.0,0.0
16,79,87,1,0,0.0,1.0,0.0,0.0,0.0,1.0
20,75,67,0,0,0.0,1.0,0.0,0.0,0.0,1.0
15,69,74,2,0,0.0,0.0,1.0,0.0,0.0,1.0
8,65,83,3,0,0.0,0.0,1.0,0.0,0.0,1.0
20,91,88,1,0,0.0,0.0,1.0,0.0,0.0,1.0
26,100,76,0,1,1.0,0.0,0.0,1.0,0.0,0.0
33,93,96,0,1,0.0,0.0,1.0,0.0,0.0,1.0
22,76,57,1,0,0.0,0.0,1.0,0.0,0.0,1.0
21,93,87,1,1,1.0,0.0,0.0,0.0,1.0,0.0
17,98,87,0,0,0.0,0.0,1.0,0.0,0.0,1.0
14,70,91,2,0,0.0,0.0,1.0,0.0,0.0,1.0
31,84,98,1,1,0.0,1.0,0.0,0.0,0.0,1.0
6,93,52,0,0,0.0,0.0,1.0,0.0,0.0,1.0
14,77,60,1,0,0.0,0.0,1.0,0.0,0.0,1.0
20,68,95,0,0,0.0,0.0,1.0,1.0,0.0,0.0
21,69,85,3,0,0.0,0.0,1.0,0.0,0.0,1.0
